,Lat,Population,Lon,Voivodeship
1212189,53.36569444448713,2.6310726073351938,20.422361111127447,warmińsko-mazurskie
8284838,50.04402777781781,6.561939880819574,19.94625000001595,małopolskie
14542240,52.136250000041706,4.389682948162527,21.080694444461308,mazowieckie
11726509,53.29680555559819,0.5987190735613177,23.731805555574542,podlaskie
7321782,52.40291666670858,1.3156072094373958,20.186527777793923,mazowieckie
8567748,50.78097222226285,1.2080777589016944,17.999027777792175,opolskie
14507634,53.077638888931354,6.000148542957121,18.105694444458926,kujawsko-pomorskie
3721233,51.15597222226314,10.406698816510572,17.144583333347047,dolnośląskie
311681,50.72736111115169,0.7556555712919133,19.750416666682465,świętokrzyskie
11217574,54.59902777782146,6.498299267420582,18.24569444445904,pomorskie
16856035,52.20875000004176,3.2398995773470154,21.189583333350285,mazowieckie
16318087,50.41180555559588,0.8973092644199151,20.27958333334956,małopolskie
9132317,51.458194444485606,3.578202169609766,22.60597222224031,lubelskie
13637806,53.45013888893165,1.0067205313324654,21.90819444446197,podlaskie
12306235,53.356250000042685,1.4275380555081465,21.425972222239363,mazowieckie
3472115,49.88208333337324,1.2118010878836192,20.82625000001666,małopolskie
6545957,50.001527777817785,1.4273490200634094,19.789305555571385,małopolskie
5584155,50.847361111151784,0.9521261652087468,22.425138888906826,lubelskie
850965,51.76930555559697,1.0455461445375829,20.55319444446089,łódzkie
2896513,50.590972222262685,1.3858253552669817,21.105694444461328,świętokrzyskie
11631562,50.853472222262894,0.7313226899057199,23.811527777796826,lubelskie
9013061,53.14402777782029,6.511561380276411,23.1376388889074,podlaskie
5904362,54.11791666670996,1.8502399706194919,16.244861111124106,zachodniopomorskie
8855816,52.392083333375254,0.97195362299954,20.342361111127385,mazowieckie
5580753,50.279861111151334,6.610518367880977,18.60125000001488,śląskie
9688041,52.80125000004224,1.0113472650509263,17.708750000014167,kujawsko-pomorskie
10988473,51.03819444448527,0.6541453072274829,22.791805555573788,lubelskie
1207706,49.76652777781759,2.006740709659224,19.097638888904164,śląskie
2647324,51.36680555559665,1.8424587396846843,22.19652777779553,lubelskie
7294075,52.7145833333755,0.9416466948794272,20.120138888904982,mazowieckie
1002309,53.37819444448714,1.6948212049728544,23.589027777796648,podlaskie
16304385,50.304583333373564,10.095254879274712,18.9709722222374,śląskie
10551002,53.000972222264615,1.484882217957652,15.625694444456945,zachodniopomorskie
14517827,52.19375000004175,1.0203591265052008,21.45513888890605,mazowieckie
1483594,52.993472222264614,3.2084095353642925,14.93597222223417,zachodniopomorskie
15643289,54.178194444487794,6.5032953699633635,16.166527777790712,zachodniopomorskie
10786938,53.09208333337582,1.3288571191586074,21.03708333335016,mazowieckie
5047492,51.66930555559689,0.7628875093458118,23.059027777796224,lubelskie
5907481,50.375972222262526,1.099837444023372,20.892916666683377,świętokrzyskie
4651968,52.592083333375406,2.524240323546394,15.480972222234604,lubuskie
1901749,49.379305555595046,0.7941913546691037,22.446250000017955,podkarpackie
13741165,49.5465277778174,2.141127462520213,20.631250000016504,małopolskie
12913322,52.24013888893068,2.21460022481404,16.827083333346796,wielkopolskie
6056567,51.33069444448551,1.2503573896005191,15.82763888890155,dolnośląskie
16417643,50.56319444448489,0.6820352748058077,23.37513888890759,lubelskie
16052357,52.01069444448605,0.7855351444004264,19.824861111126967,łódzkie
2143112,53.02875000004242,0.7998874637378652,20.720694444461017,mazowieckie
4260040,52.80486111115336,0.8597028841737454,22.64847222224034,podlaskie
1783488,53.56208333337618,1.2888153005735306,22.282638888906714,podlaskie
15189993,52.24208333337513,2.3289865918896555,17.097361111124787,wielkopolskie
11004405,54.70680555559932,1.6900749038767848,18.380972222236927,pomorskie
13128824,52.06291666670832,5.643056462747265,20.457638888905255,mazowieckie
373338,52.68125000004214,1.5221843189429924,15.100972222234304,lubuskie
13480351,52.112638888930576,1.0312160972728857,21.84097222223969,mazowieckie
11338376,50.633750000040514,1.927785357718104,20.303472222238465,świętokrzyskie
12760384,54.15069444448776,0.9451639503212856,20.429861111127455,warmińsko-mazurskie
7897674,50.56291666670712,3.2532595154835917,18.560694444459287,opolskie
8004757,51.362916666707754,1.0483547923373295,22.56347222224027,lubelskie
15776202,50.31541666670692,3.2834838151330428,19.286805555570982,śląskie
14322197,51.04236111115193,0.6879707858541366,23.535694444463267,lubelskie
1525384,51.71791666670804,2.06486145758386,19.633472222237927,łódzkie
17308464,51.45430555559671,1.1728310482678104,20.395138888905205,łódzkie
274135,53.04680555559799,0.669158821275272,22.55708333335138,podlaskie
4358362,50.89930555559628,6.07164492112723,20.67652777779432,świętokrzyskie
5529221,51.12013888892978,1.1983020877954338,21.17097222223916,mazowieckie
13820087,51.933472222263774,1.0120141069275597,21.114861111128,mazowieckie
2593967,50.24847222226242,2.096881621225738,18.732361111126092,śląskie
2172567,52.56319444448649,1.241562967408168,21.799305555572992,mazowieckie
7272177,52.13291666670836,1.4747617006890943,17.695972222236378,wielkopolskie
15431934,49.72069444448422,1.528936229139179,20.350416666682943,małopolskie
15792970,49.67069444448418,1.3300749974234054,21.71097222223959,podkarpackie
574588,51.18958333337428,0.8111412782295173,19.133472222237533,łódzkie
7849789,52.63180555559766,0.9068926545036556,21.84736111112859,mazowieckie
4319695,51.39069444448555,1.4832182467320592,20.610694444460933,mazowieckie
5327006,50.08069444448451,3.2080014625748148,18.61208333334822,śląskie
4258393,50.13152777781788,1.3130252420557738,20.064583333349386,małopolskie
8742434,53.48902777782057,1.364518480424454,18.675694444459385,kujawsko-pomorskie
15940279,50.02097222226224,2.5547957729388324,19.103750000015282,śląskie
